id,SMILES,bp_K,ValidMol,RDKit_InChIKey,MolWt,ExactMolWt,MolLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,RingCount,AromaticRingCount,AliphaticRingCount,HeterocycleCount,FractionCarbonSP3,HeavyAtomCount,HeteroatomCount,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge
1747,CCOC(=O)C(OCC)=O,458.95,True,WYACBZDAHNBPPB-UHFFFAOYSA-N,146.14199999999997,146.0579088,0.11260000000000003,52.6,0,4,2,0,0,0,0,0.6666666666666666,10,4,58,0,0.4169612440040684,-0.4575721095461552
1748,Clc1cc(Cl)c(Cl)cc1Cl,517.75,True,JHBKHLUZVFWLAG-UHFFFAOYSA-N,215.894,213.891060784,4.3002,0.0,0,0,0,1,1,0,0,0.0,10,4,54,0,0.06076945388496294,-0.08265547959686942
1749,Oc1cc(Cl)c(Cl)cc1Cl,535.25,True,LHJGJYXLEPZJPM-UHFFFAOYSA-N,197.448,195.924947756,3.3524000000000003,20.23,1,1,0,1,1,0,0,0.0,10,4,54,0,0.13526196657892553,-0.5063378547624448
1750,CCCCC(=O)C(C)=O,337.25,True,FJPGAMCQJNLTJC-UHFFFAOYSA-N,128.171,128.083729624,1.3347,34.14,0,2,4,0,0,0,0,0.7142857142857143,9,2,52,0,0.19758127860324606,-0.2912219254007634
1751,C=CCOC(=O)C(C)=C,423.25,True,FBCQUCJYYPMKRO-UHFFFAOYSA-N,126.15499999999999,126.06807956,1.2917,26.3,0,2,3,0,0,0,0,0.2857142857142857,9,2,50,0,0.33291963293662447,-0.4581329933776209
1752,C1OC1c1ccccc1,467.35,True,AWMVMTVKBNGEAK-UHFFFAOYSA-N,120.15099999999995,120.057514876,1.7579,12.53,0,1,1,2,1,1,1,0.25,9,1,46,0,0.10595724459041302,-0.3680470254929766
1753,CC[Al](Cl)CC,481.25,True,YNLAOSYQHBDIKW-UHFFFAOYSA-M,120.559,120.02864163,2.2565,0.0,0,0,2,0,0,0,0,1.0,6,2,36,0,0.39850946523331293,-0.2610779685213089
1754,CCC(C)C=O,366.25,True,BYGQBDHUGHBGMD-UHFFFAOYSA-N,86.13399999999999,86.07316494,1.2314,17.07,0,1,2,0,0,0,0,0.8,6,1,36,0,0.12228138819219676,-0.3031007788735372
1755,ClCC(Cl)=CCl,415.25,True,HIILBTHBHCLUER-UHFFFAOYSA-N,145.416,143.930033136,2.544200000000001,0.0,0,0,1,0,0,0,0,0.3333333333333333,6,3,36,0,0.059024022354142384,-0.12053556809282176
1756,CCC(CC)=O,374.95,True,FDPIMTJIUBPUKL-UHFFFAOYSA-N,86.13399999999999,86.07316494,1.3755,17.07,0,1,2,0,0,0,0,0.8,6,1,36,0,0.13186152172966464,-0.2997406513908195
1757,ClCC(O)CCl,447.55,True,DEWLEGDTCGBNGU-UHFFFAOYSA-N,128.986,127.979570172,0.8249,20.23,1,1,2,0,0,0,0,1.0,6,3,38,0,0.08100977250193761,-0.39064331282727577
1758,OCC(O)CCl,486.25,True,SSZWWUDQMAHNAQ-UHFFFAOYSA-N,110.54000000000002,110.013457144,-0.4216,40.46,2,2,2,0,0,0,0,1.0,6,3,38,0,0.09053619153030341,-0.3936413458759476
1759,OCC(O)CS,391.25,True,PJUIMOJAAPLTRJ-UHFFFAOYSA-N,108.16200000000002,108.024500496,-0.7305999999999999,40.46,3,3,2,0,0,0,0,1.0,6,3,38,0,0.08580506928468279,-0.3936555650614657
